DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
40824012,Jerami Grant,SF/PF/F/UTIL,POR,DAL,Confirmed,5500,36.75,33.25,36.75,33.25,6.045454545454546,41.87,34.10004215339778,0,100,118.9152,234.377,33.2513,27,32.875,39,42.5,48.6312,55.6275,32.8606,26.45,32.5,38.7,42.35,48.45,55.7505,32.8606,26.45,32.5,38.7,42.35,48.45,55.7505,33.2709,27,32.9,38.95,42.4,48.4525,55.701,9.02507,9.19797,9.19797,8.96362,20.4631,30.7251,4.4785,2.35675,3.42296,0.737833,2.68513,3.00142,1.03079,0.817875,1.82046
40823928,Dyson Daniels,PG/G/UTIL,ATL,PHX,Confirmed,7600,43.25,32.92,43.25,32.92,4.331578947368421,1.04,1.5477945293183366,0,100,112.8215,226.703,32.9231,25.75,31.125,36.875,40.0187,45.75,52.3763,34.0173,26.2,32.1,38.4,41.75,47.75,54.9005,34.0173,26.2,32.1,38.4,41.75,47.75,54.9005,33.7893,26.35,31.925,37.9,41.2,47,53.801,8.35258,8.98205,8.98205,8.60104,10.6854,33.1598,3.40933,1.01134,5.52116,1.08658,4.43459,6.0815,1.94367,0.6015,1.64208
40823999,Toumani Camara,SF/F/UTIL,POR,DAL,Confirmed,5700,31,32.13,31,32.13,5.636842105263158,26.82,23.61457873077143,0,100,118.9152,234.377,32.1281,26.125,32.125,38.375,41.625,47.0062,53.875,32.3033,26.15,32.35,38.75,42.35,48.3,55.151,32.3033,26.15,32.35,38.75,42.35,48.3,55.151,32.3786,26.35,32.35,38.6,42.0575,47.7,54.3005,8.90687,9.27742,9.27742,8.95827,15.2956,34.0922,3.47017,2.02858,5.78562,1.24038,4.54525,3.26196,1.61617,0.753792,1.65313
40824025,Derik Queen,C/UTIL,NOP,GSW,Confirmed,5300,30.25,31.4,30.25,31.4,5.9245283018867925,23.8,21.23863115727187,0,100,110.1812,228.6794,31.3997,25,31,37,40.5,46.5,53.6263,31.7198,25.1,31.225,37.7,41.35,47.5525,54.451,31.7198,25.1,31.225,37.7,41.35,47.5525,54.451,32.0188,25.55,31.55,37.8,41.3575,47.4,54.251,8.91401,9.35784,9.35784,9.09476,11.7926,33.1908,3.8675,0.778667,9.14008,2.45958,6.6805,2.93767,1.40708,0.732083,1.97733
40823975,Mark Williams,C/UTIL,PHX,ATL,Confirmed,6300,13.5,30.95,13.5,30.95,4.912698412698413,6.12,6.628846404262218,0,100,113.8815,226.703,30.9532,24.75,29.875,35.5,38.5,44,49.7513,31.9493,25.25,30.85,36.9,40.3,46.05,53.2,31.9493,25.25,30.85,36.9,40.3,46.05,53.2,32.2243,25.6,31.1,37.05,40.35,46.1,52.801,7.96425,8.6416,8.6416,8.4732,13.4685,26.2289,5.233,0.146167,9.16992,1.85309,7.31683,1.00342,0.846083,1.36683,1.4035
40823958,Draymond Green,PF/C/F/UTIL,GSW,NOP,Confirmed,6700,34,30.62,34,30.62,4.570149253731343,2.65,3.3390045340198875,0,100,118.4982,228.6794,30.6239,25.375,30.5,36.125,39.125,44.5,50.7513,30.1259,24.7,30.15,35.95,39.15,44.5525,51.1,30.1259,24.7,30.15,35.95,39.15,44.5525,51.1,30.9871,25.75,30.95,36.65,39.65,45.0525,51.5005,7.96462,8.32083,8.32083,8.08857,9.80825,28.7346,2.59683,1.15383,7.11,1.35075,5.75925,6.21783,1.02458,0.805084,2.69283
40823980,Dillon Brooks,SF/F/UTIL,PHX,ATL,Confirmed,6200,49,29.62,49,29.62,4.7774193548387105,4.78,5.2933472614950094,0,100,113.8815,226.703,29.617,23.8438,29.625,35.875,39.125,44.875,51.375,28.6039,22.85,28.65,34.7,38,43.65,50.4515,28.6039,22.85,28.65,34.7,38,43.65,50.4515,28.8592,23.3,28.85,34.8,38.05,43.5,50.2005,8.7478,8.65798,8.65798,8.42632,19.3892,31.4034,4.01075,2.73058,2.92175,0.623334,2.29841,2.51792,0.935583,0.285417,1.38408
40823972,Nickeil Alexander-Walker,SG/G/UTIL,ATL,PHX,Confirmed,6400,40.25,29.36,40.25,29.36,4.5874999999999995,2.53,2.977878971982007,0,0,112.8215,226.703,29.361,22.375,28,34,37.25,43.125,50.0025,28.1863,21.15,26.85,32.75,36,41.7025,48.5,28.1863,21.15,26.85,32.75,36,41.7025,48.5,28.7343,21.9,27.45,33.2,36.35,41.95,48.5505,8.56575,8.49418,8.49418,8.29443,15.5541,29.5772,2.83867,2.80975,3.12967,0.62075,2.50891,3.92684,0.695667,0.594584,1.87334
40823996,Matas Buzelis,PF/F/UTIL,CHI,UTA,Confirmed,5700,34,29.35,34,29.35,5.149122807017544,13.15,12.839602214742937,0,100,123.2552,242.0745,29.3534,23.5,29.125,35.125,38.625,44.7562,51.25,29.0207,22.9375,28.8,35,38.4,44.65,51.7005,29.0207,22.9375,28.8,35,38.4,44.65,51.7005,29.2757,23.35,29,35.05,38.4,44.4025,51.4005,8.79601,9.00045,9.00045,8.76496,15.1789,27.467,3.386,2.15866,5.71291,1.19741,4.5155,2.15984,1.08225,0.741167,1.61391
40824053,Donovan Clingan,C/UTIL,POR,DAL,Confirmed,4900,39.25,28.98,39.25,28.98,5.914285714285715,25.7,22.636079840071897,0,100,118.9152,234.377,28.977,22.625,27.8125,33.25,36.5,42,48.25,29.6462,22.8,28.3,34.35,37.65,43.45,51.101,29.6462,22.8,28.3,34.35,37.65,43.45,51.101,29.9427,23.2,28.675,34.5,37.85,43.7,50.8505,8.02862,8.5991,8.5991,8.47587,9.18271,25.2982,3.03966,0.561333,9.30946,1.83441,7.47504,2.37888,0.788917,1.28988,1.36229
