DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
123093-110352,P.J. Washington,PF/SF,DAL,POR,Confirmed,6600,30.4,35.21,30.4,35.21,5.334848484848485,7.26,7.40629167556001,0,100,115.4618,234.377,35.7567,28.125,34.25,40.5,43.75,50.125,57.375,35.2103,27.55,33.6,39.95,43.55,49.65,57.401,35.2103,27.55,33.6,39.95,43.55,49.65,57.401,35.6324,28.05,34.15,40.3125,43.7075,49.655,57.3005,9.16635,9.2808,9.2808,9.07942,16.4293,31.6116,3.89675,2.17554,8.27879,2.08687,6.19192,2.63104,0.961165,0.859917,1.83537
123093-228113,Cooper Flagg,PG/SG/SF,DAL,POR,Confirmed,7000,47.1,35.07,47.1,35.07,5.01,7.74,7.851377215693165,0,100,115.4618,234.377,34.9272,28,34.375,40.75,44.375,49.7562,57.8775,35.0719,27.95,34.325,41.1,44.8,50.65,58.3535,35.0719,27.95,34.325,41.1,44.8,50.65,58.3535,35.1166,28.3,34.4,41,44.5075,50.05,58.002,9.22499,9.55989,9.55989,9.24953,16.8477,33.5244,4.49084,1.69675,6.52896,1.61987,4.90908,3.60029,1.47634,0.585416,1.60025
123093-188412,Keyonte George,PG/SG,UTA,CHI,Confirmed,7100,52.4,34.96,53.4,34.96,4.923943661971831,9.43,9.350604564193924,0,100,118.8193,242.0745,36.7205,29.75,36.5,43,46.875,53.125,60.5025,34.9622,28.15,34.75,41.3,45.05,51.2,58.651,34.9622,28.15,34.75,41.3,45.05,51.2,58.651,35.9657,29.35,35.75,42.1,45.75,51.65,59.0515,9.78137,9.71404,9.71404,9.46593,19.8039,33.1683,3.68433,2.8475,3.61008,0.770417,2.83967,6.55292,0.895167,0.375333,2.90233
123093-171784,Dyson Daniels,SG/PG,ATL,PHO,Confirmed,7200,42.4,34.02,42.4,34.02,4.725,2.45,2.948399261779295,0,100,112.8215,226.703,32.9231,25.75,31.125,36.875,40.0187,45.75,52.3763,34.0173,26.2,32.1,38.4,41.75,47.75,54.9005,34.0173,26.2,32.1,38.4,41.75,47.75,54.9005,33.7893,26.35,31.925,37.9,41.2,47,53.801,8.35258,8.98205,8.98205,8.60104,10.6854,33.1598,3.40933,1.01134,5.52116,1.08658,4.43459,6.0815,1.94367,0.6015,1.64208
123093-203722,Kyshawn George,SF/PF,WAS,BKN,Confirmed,6100,39.7,33.19,39.7,33.19,5.440983606557376,25.44,21.74625419883752,0,100,116.2337,231.478,33.6437,26.875,33.25,39.5,42.75,48.375,55.625,33.1869,26.45,32.65,39,42.3575,48.4,55.4505,33.1869,26.45,32.65,39,42.3575,48.4,55.4505,33.4559,26.85,33,39.1,42.45,48.2,55.0505,9.08185,9.19728,9.19728,8.98125,13.9639,30.6573,2.61417,2.55625,6.4185,1.386,5.0325,4.65908,1.06167,0.873416,1.57092
123093-23831,Jerami Grant,PF/SF,POR,DAL,Confirmed,5300,34,32.86,34,32.86,6.2,11.4,10.902740864395888,0,100,118.9152,234.377,33.2513,27,32.875,39,42.5,48.6312,55.6275,32.8606,26.45,32.5,38.7,42.35,48.45,55.7505,32.8606,26.45,32.5,38.7,42.35,48.45,55.7505,33.2709,27,32.9,38.95,42.4,48.4525,55.701,9.02507,9.19797,9.19797,8.96362,20.4631,30.7251,4.4785,2.35675,3.42296,0.737833,2.68513,3.00142,1.03079,0.817875,1.82046
123093-188447,Toumani Camara,SF/PF,POR,DAL,Confirmed,5600,28.5,32.3,28.5,32.3,5.767857142857142,14.52,13.490320585500452,0,100,118.9152,234.377,32.1281,26.125,32.125,38.375,41.625,47.0062,53.875,32.3033,26.15,32.35,38.75,42.35,48.3,55.151,32.3033,26.15,32.35,38.75,42.35,48.3,55.151,32.3786,26.35,32.35,38.6,42.0575,47.7,54.3005,8.90687,9.27742,9.27742,8.95827,15.2956,34.0922,3.47017,2.02858,5.78562,1.24038,4.54525,3.26196,1.61617,0.753792,1.65313
123093-171786,Mark Williams,C,PHO,ATL,Confirmed,5900,12.3,31.95,12.3,31.95,5.415254237288136,2.32,2.734522058005115,0,100,113.8815,226.703,30.9532,24.75,29.875,35.5,38.5,44,49.7513,31.9493,25.25,30.85,36.9,40.3,46.05,53.2,31.9493,25.25,30.85,36.9,40.3,46.05,53.2,32.2243,25.6,31.1,37.05,40.35,46.1,52.801,7.96425,8.6416,8.6416,8.4732,13.4685,26.2289,5.233,0.146167,9.16992,1.85309,7.31683,1.00342,0.846083,1.36683,1.4035
123093-228132,Derik Queen,PF/C,NO,GS,Confirmed,5500,31.4,31.72,31.4,31.72,5.767272727272727,2.3,2.6652332112871546,0,100,110.1812,228.6794,31.3997,25,31,37,40.5,46.5,53.6263,31.7198,25.1,31.225,37.7,41.35,47.5525,54.451,31.7198,25.1,31.225,37.7,41.35,47.5525,54.451,32.0188,25.55,31.55,37.8,41.3575,47.4,54.251,8.91401,9.35784,9.35784,9.09476,11.7926,33.1908,3.8675,0.778667,9.14008,2.45958,6.6805,2.93767,1.40708,0.732083,1.97733
123093-145324,Devin Vassell,SF/SG,SA,SAC,Confirmed,4900,35.1,31.49,35.1,31.49,6.426530612244898,37.22,30.41216503842268,0,100,122.937,240.3172,31.9678,26.25,32.375,38.625,42.1437,48.25,55.625,31.4913,25.8,31.8,38.25,41.8,47.95,55.101,31.4913,25.8,31.8,38.25,41.8,47.95,55.101,31.5561,26.05,31.85,38.05,41.5,47.45,54.4505,9.12028,9.20179,9.20179,8.89544,19.3041,31.6605,3.98175,2.97967,3.73492,0.830833,2.90408,2.63767,1.61309,0.442417,1.7035
123093-19067,CJ McCollum,SG/PG,WAS,BKN,Confirmed,6000,28.9,30.9,28.9,30.9,5.15,11.2,10.874418857733692,0,100,116.2337,231.478,32.2293,25.875,31.75,37.75,41.25,47.25,54.25,30.902,24.5,30.35,36.5,39.9,45.8,52.85,30.902,24.5,30.35,36.5,39.9,45.8,52.85,31.4415,25.25,30.95,37,40.1,46.0025,52.75,8.99572,8.92285,8.92285,8.70156,19.166,29.0997,4.34283,2.80508,3.546,0.7725,2.7735,3.65367,0.824166,0.404334,1.87867
123093-15860,Draymond Green,PF/C,GS,NO,Confirmed,5400,33,30.13,33,30.13,5.57962962962963,19.41,17.01695963046001,0,100,118.4982,228.6794,30.6239,25.375,30.5,36.125,39.125,44.5,50.7513,30.1259,24.7,30.15,35.95,39.15,44.5525,51.1,30.1259,24.7,30.15,35.95,39.15,44.5525,51.1,30.9871,25.75,30.95,36.65,39.65,45.0525,51.5005,7.96462,8.32083,8.32083,8.08857,9.80825,28.7346,2.59683,1.15383,7.11,1.35075,5.75925,6.21783,1.02458,0.805084,2.69283
123093-203714,Donovan Clingan,C,POR,DAL,Confirmed,5200,38.2,29.65,38.2,29.65,5.701923076923077,3.08,3.4090933991109615,0,100,118.9152,234.377,28.977,22.625,27.8125,33.25,36.5,42,48.25,29.6462,22.8,28.3,34.35,37.65,43.45,51.101,29.6462,22.8,28.3,34.35,37.65,43.45,51.101,29.9427,23.2,28.675,34.5,37.85,43.7,50.8505,8.02862,8.5991,8.5991,8.47587,9.18271,25.2982,3.03966,0.561333,9.30946,1.83441,7.47504,2.37888,0.788917,1.28988,1.36229
123093-41083,Luke Kornet,C,SA,SAC,Confirmed,4000,34.7,29.36,34.7,29.36,7.34,17.7,15.817531079636852,0,100,122.937,240.3172,28.0686,22.25,27.125,32.25,35.25,40.5,46.5,29.3589,22.9,28.25,33.85,37.25,42.9,49.6,29.3589,22.9,28.25,33.85,37.25,42.9,49.6,29.3469,23,28.25,33.85,37.15,42.7,49.4505,7.49787,8.17734,8.17734,8.03253,10.7961,27.4785,4.30591,0.200083,7.71733,1.71817,5.99917,2.1015,0.728833,1.35558,0.746583
123093-9714,DeMar DeRozan,SF/PF,SAC,SA,Confirmed,6100,40.4,29.05,40.4,29.05,4.762295081967213,1.94,2.286355792823253,0,100,117.3802,240.3172,29.199,23.25,28.75,34.625,37.75,43.5062,49.6275,29.0475,22.8375,28.55,34.55,37.9,43.85,50.5015,29.0475,22.8375,28.55,34.55,37.9,43.85,50.5015,29.4404,23.35,28.95,34.9,38.05,43.8,50.301,8.48223,8.77732,8.77732,8.56225,19.0678,32.4306,6.06867,0.838084,3.07,0.632416,2.43759,2.74033,0.814084,0.389167,1.61733
