entry_id,contest_id,contest_name,entry_fee,PG,PG,SG,SG,SF,SF,PF,PF,C,"","Instructions"
"3612560780","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-171772:Ryan Rollins,123147-171772,PG/SG,Ryan,Ryan Rollins,Rollins,32.93571472167969,14,6900,MIL@CLE,MIL,CLE,,,,,,PG/SG
"3612560781","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-80821:Jarrett Allen,123147-80821,C/PF,Jarrett,Jarrett Allen,Allen,32.175000508626304,12,6800,MIL@CLE,CLE,MIL,,,,,,PF/C
"3612560782","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-68090:OG Anunoby,123147-68090,SF/PF,OG,OG Anunoby,Anunoby,31.6999994913737,12,6800,NY@MIA,NY,MIA,O,Hamstring,,,,SF/PF
"3612560783","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-188422:Jaime Jaquez,123147-188422,SF,Jaime,Jaime Jaquez,Jaquez,35.38461538461539,13,6700,NY@MIA,MIA,NY,,,,,,SF
"3612560784","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-145348:Immanuel Quickley,123147-145348,PG/SG,Immanuel,Immanuel Quickley,Quickley,32.28461632361779,13,6700,CHA@TOR,TOR,CHA,,,,,,PG/SG
"3612560785","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-110357:RJ Barrett,123147-110357,SG/SF,RJ,RJ Barrett,Barrett,33.24615478515625,13,6600,CHA@TOR,TOR,CHA,,,,,,SG/SF
"3612560786","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-80825:Isaiah Hartenstein,123147-80825,C,Isaiah,Isaiah Hartenstein,Hartenstein,34.20714242117746,14,6600,OKC@NO,OKC,NO,,,,,,C
"3612560787","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-12341:Paul George,123147-12341,SF/PF,Paul,Paul George,George,33.50731826410061,41,6500,LAC@PHI,PHI,LAC,P,Knee,,,,SF/PF
"3612560789","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-40562:Josh Hart,123147-40562,SF/PF,Josh,Josh Hart,Hart,24.10000055486506,11,6400,NY@MIA,NY,MIA,,,,,,SF/PF
"3612560790","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-171746:Bennedict Mathurin,123147-171746,SG/SF,Bennedict,Bennedict Mathurin,Mathurin,40.650001525878906,2,6400,IND@DET,IND,DET,Q,Toe,,,,SG/SF
"3612560791","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-49116:Andrew Wiggins,123147-49116,SF/PF,Andrew,Andrew Wiggins,Wiggins,31.71538367638221,13,6400,NY@MIA,MIA,NY,,,,,,SF/PF
"3612560792","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-58378:Jakob Poeltl,123147-58378,C,Jakob,Jakob Poeltl,Poeltl,25.355555216471355,9,6300,CHA@TOR,TOR,CHA,,,,,,C
"3612560793","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-203812:Daniss Jenkins,123147-203812,PG,Daniss,Daniss Jenkins,Jenkins,20.712499618530273,8,6300,IND@DET,DET,IND,,,,,,PG
"3612560795","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-110352:P.J. Washington,123147-110352,PF/SF,P.J.,P.J. Washington,Washington,31.123077392578125,13,6300,DAL@MIN,DAL,MIN,,,,,,SF/PF
"3612560796","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-110338:De'Andre Hunter,123147-110338,SF/PF,De'Andre,De'Andre Hunter,Hunter,29.672726717862215,11,6200,MIL@CLE,CLE,MIL,,,,,,SF/PF
"3612560797","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-228133:VJ Edgecombe,123147-228133,SF/SG,VJ,VJ Edgecombe,Edgecombe,31.883333841959637,12,6200,LAC@PHI,PHI,LAC,,,,,,SG/SF
"3612560798","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-58253:Myles Turner,123147-58253,C,Myles,Myles Turner,Turner,29.814285278320312,14,6200,MIL@CLE,MIL,CLE,,,,,,C
"3612560799","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-145319:Jaden McDaniels,123147-145319,SF/PF,Jaden,Jaden McDaniels,McDaniels,31.446152907151443,13,6200,DAL@MIN,MIN,DAL,,,,,,SF/PF
"3612560800","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-203808:Ajay Mitchell,123147-203808,PG/SG,Ajay,Ajay Mitchell,Mitchell,31.728572300502233,14,6100,OKC@NO,OKC,NO,,,,,,PG/SG
"3612560801","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-157826:Quentin Grimes,123147-157826,SG/SF,Quentin,Quentin Grimes,Grimes,29.09166717529297,12,6100,LAC@PHI,PHI,LAC,,,,,,SG/SF
"3612560803","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-40203:Rudy Gobert,123147-40203,C,Rudy,Rudy Gobert,Gobert,29.115384615384617,13,6100,DAL@MIN,MIN,DAL,,,,,,C
"3612560804","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-228135:Kon Knueppel,123147-228135,SF/SG,Kon,Kon Knueppel,Knueppel,28.838461068960335,13,6000,CHA@TOR,CHA,TOR,,,,,,SG/SF
"3612560805","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-41594:Aaron Gordon,123147-41594,PF,Aaron,Aaron Gordon,Gordon,31.318181818181817,11,5900,CHI@DEN,DEN,CHI,,,,,,PF
"3612560806","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-110326:Coby White,123147-110326,SG/PG,Coby,Coby White,White,43.79999923706055,1,5900,CHI@DEN,CHI,DEN,O,Calf,,,,PG/SG
"3612560807","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-110342:Darius Garland,123147-110342,PG,Darius,Darius Garland,Garland,25.433334350585938,3,5900,MIL@CLE,CLE,MIL,O,Toe,,,,PG
"3612560808","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-171765:Moussa Diabate,123147-171765,C,Moussa,Moussa Diabate,Diabate,26.79230675330529,13,5800,CHA@TOR,CHA,TOR,,,,,,C
"3612560809","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-58153:Kelly Oubre,123147-58153,SG/SF,Kelly,Kelly Oubre,Oubre,29.100001017252605,12,5800,LAC@PHI,PHI,LAC,O,Knee,,,,SG/SF
"3612560810","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-228147:Ryan Kalkbrenner,123147-228147,C,Ryan,Ryan Kalkbrenner,Kalkbrenner,27.0749994913737,12,5800,CHA@TOR,CHA,TOR,,,,,,C
